,Unnamed: 0,BETROFFENE_ANLAGE,Value,Latitude,Longitude
259,95,NIEDERAUSSEM_H,Niederaußem,50.9867,6.6698
260,96,50H_WEMA_CR_PE,,,
261,97,WEISWEILER_H,Weisweiler,50.8273,6.3147
262,98,50H_EDIS_CR_HND,,,
263,99,GERSTEINW_K1 (KapRes),Werne,51.665,7.6314
264,100,GUD_HERNE_6,Herne,51.5369,7.2009
265,101,NIEDERAUSSEM_F,Niederaußem,50.9867,6.6698
266,102,50H_WEMA_CR_WE,,,
267,103,VOELKLINGEN_HKV,Völklingen,49.2556,6.8589
268,104,GERSTEINW_F (KapRes),Werne,51.665,7.6314
269,105,50H_EDIS_CR_PZS,,,
270,106,SHN Cluster Lübeck,Lübeck,53.8655,10.686389
271,107,SHN Cluster Handewitt T414 T415,Handewitt,54.7703,9.3245
272,108,50H_EDIS_CR_LHG,,,
273,109,50H_WEMA_CR_PMS,,,
274,110,50H_EDIS_CR_BW,,,
275,111,NIEDERAUSSEM_K,Niederaußem,50.9867,6.6698
276,112,GAMOR_ROEMER,Römerbrücke,49.13,7
277,113,SHN Cluster Handewitt T411,Handewitt,54.7703,9.3245
278,114,GERSTEINW_G (KapRes),Werne,51.665,7.6314
279,115,SHN Cluster Klixbüll,Klixbüll ,54.7944,8.9052
280,116,SHN Cluster Handewitt T412 T413,Handewitt,54.7703,9.3245
281,117,50H_WEMA_CR_GOE,,,
282,118,LAUSWARD_GUDF,Lausward,51.222,6.73
283,119,WEISWEILER_G,Weisweiler,50.8273,6.3147
284,120,SHN Cluster Krümmel,Krümmel ,50.5355,7.7223
285,121,NIEHL-31-GUD,Niehl,50.999,6.9524
286,122,NIEDERAUSSEM_G,Niederaußem,50.9867,6.6698
287,123,50H_MNS_CR_GRS,,,
288,124,50H UW Schönewalde,Schönewalde,51.7937,13.25
289,125,NEURATH_D,Neurath,46.793,15.4776
290,126,NIEDERAUSSEM_E,Niederaußem,50.9867,6.6698
291,127,NEURATH_G,Neurath,46.793,15.4776
292,128,AMP_WESTNETZ_PLAIDT_CR_WIND,Plaidt,50.3913,7.3904
293,129,CHEMIEPARK_MARL_KRAFTWERKE,Marl,51.6803,7.1019
294,130,HERNE_4,Herne,51.5369,7.2009
295,131,50H_MNS_CR_ADB,,,
296,132,NEURATH_F,Neurath,46.793,15.4776
297,133,NEURATH_E,Neurath,46.793,15.4776
298,134,AMP_LEW_VERTEILNETZ_NORD_CR_PHOTOVOLTAIK,,,
299,135,AMP_LEW_VERTEILNETZ_SUED_CR_WIND,,,
300,136,NEURATH_C,Neurath,46.793,15.4776
301,137,50H_MNS_CR_MA_Sued,,,
302,138,50H_EDIS_CR_GUE_Sued,,,
303,139,50H_MNS_CR_LAU_Sued,,,
304,140,AMP_LEW_VERTEILNETZ_NORD_CR_WIND,,,
305,141,AMP_LEW_VERTEILNETZ_NORD_CR_SONSTIGE_EE,,,
306,142,AMP_LEW_VERTEILNETZ_SUED_CR_PHOTOVOLTAIK,,,
307,143,AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE,,,
308,144,AMP_WESTNETZ_NAHE_CR_WIND,,,
309,145,50H_TEN_CR_S1_ATF,,,
310,146,50H_EDIS_CR_THY,,,
311,147,50H_MNS_CR_PRL_TU,,,
312,148,50H_AVA_CR_FOE,,,
313,149,50H_EDIS_CR_EH,,,
314,150,HERDECKE_H6,Herdecke,51.4032,7.4328
315,151,50H_EDIS_CR_WU,,,
316,152,NIEHL-II,Niehl,50.999,6.9524
317,153,50H_EDIS_CR_PE,,,
318,154,50H_EDIS_CR_PAS,,,
319,155,AMP_SYNA_TAUNUS_CR_WIND,Taunus,50.2185,8.417
320,156,50H_MNS_CR_PUL,,,
321,157,AMP_WESTNETZ_EIFEL_CR_WIND,Eifel,50.25,6.6667
322,158,AMP_WESTNETZ_SIERSDORF_CR_WIND,Siersdorf,50.8974,6.2266
323,159,50H_TEN_CR_M1_EI,,,
324,160,KNAPSACK_20,Knapsack ,50.8666632,6.8499966
325,161,50H_TEN_CR_M2_VIB,,,
326,162,50H_MNS_CR_FRN,,,
327,163,50H_MNS_CR_JSN,,,
328,164,AMP_WESTNETZ_TRIER_CR_WIND,Trier,49.7501,6.6372
329,165,50H_TEN_CR_S2_WD,,,
330,166,50H_MNS_CR_PRL,,,
331,167,50H_AVA_CR_WOL,,,
332,168,HATTINGEN_AIRPRODUCTS(KapRes),Hattingen,7.1912,7.1912
333,169,HAMMUENTROP_20,Uentrop,51.6881,7.9465
334,170,50H_EDIS_CR_ATS,,,
